longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews,price
-73.95805,1.0,2.0,11.0,12.0,0.0,126.82,250.0
-73.98257,2.0,1.0,188.0,1.0,1.0,4.24,
-73.91621,7.0,1.0,0.0,21.0,0.0,2.04,105.0
-73.94125,2.0,1.0,48.0,12.0,1.0,9.0,140.0
-73.76376,1.0,1.0,161.0,46.0,1.0,13.69,89.0
-73.94473,14.0,1.0,0.0,6.0,1.0,1.07,98.0
-73.94496,1.0,1.0,0.0,15.0,0.0,0.0,125.0
-73.90827,2.0,1.0,12.0,49.0,0.0,7.41,
-73.95857,4.0,1.0,0.0,12.0,0.0,8.44,175.0
-73.95273,5.0,2.0,342.0,28.0,0.0,2.14,65.0
-73.81539,1.0,1.0,208.0,94.0,1.0,8.0,500.0
-73.9094,2.0,1.0,190.0,44.0,0.0,27.42,101.0
-73.95039,3.0,1.0,0.0,6.0,1.0,0.0,220.0
-73.91187,60.0,2.0,74.0,21.0,0.0,17.19,125.0
-73.93016,1.0,1.0,0.0,30.0,0.0,1.04,80.0
-73.76951,3.0,2.0,23.0,46.0,1.0,148.28,100.0
-73.92513,6.0,1.0,0.0,56.0,0.0,0.0,200.0
-73.98042,2.0,1.0,14.0,8.0,1.0,130.33,59.0
-73.98108,1.0,1.0,0.0,26.0,1.0,5.12,125.0
-73.95867,3.0,1.0,248.0,22.0,0.0,0.0,140.0
-73.96631,3.0,1.0,16.0,12.0,1.0,2.0,120.0
-73.95899,2.0,1.0,305.0,12.0,0.0,0.0,350.0
-73.94682,20.0,1.0,64.0,15.0,0.0,1.1400000000000001,
-73.96038,1.0,1.0,0.0,28.0,1.0,25.67,325.0
-73.92751,1.0,1.0,180.0,42.0,0.0,0.0,235.0
-73.95457,2.0,4.0,275.0,6.0,1.0,0.0,
-73.93022,2.0,1.0,234.0,21.0,0.0,80.03,99.0
-73.94781,14.0,1.0,21.0,20.0,0.0,2.32,170.0
-73.93198,1.0,3.0,364.0,30.0,1.0,28.64,400.0
-74.00302,1.0,1.0,0.0,11.0,1.0,6.21,170.0
-74.01898,3.0,1.0,0.0,79.0,1.0,0.0,
-73.93,4.0,1.0,0.0,12.0,1.0,0.0,75.0
-73.93657,19.0,43.0,347.0,54.0,0.0,0.0,
-73.90947,28.0,5.0,312.0,6.0,1.0,3.16,150.0
-73.94397,1.0,2.0,1.0,12.0,1.0,0.0,85.0
-73.97501,14.0,1.0,0.0,17.0,1.0,1.03,
-73.95072,2.0,2.0,66.0,28.0,0.0,8.11,120.0
-73.91361,4.0,2.0,1.0,39.0,0.0,42.89,89.0
-73.91993,2.0,1.0,0.0,21.0,0.0,3.12,185.0
-73.9962,5.0,1.0,0.0,14.0,1.0,0.0,
-73.98308,28.0,1.0,38.0,23.0,1.0,12.43,105.0
-74.01043,2.0,1.0,35.0,11.0,0.0,15.91,130.0
-73.96854,3.0,1.0,358.0,12.0,0.0,15.24,115.0
-73.97895,2.0,1.0,27.0,23.0,1.0,9.879999999999999,
-73.95647,3.0,2.0,223.0,45.0,1.0,92.52,76.0
-73.92075,1.0,3.0,322.0,39.0,0.0,172.93,125.0
-73.96522,30.0,14.0,332.0,1.0,1.0,0.0,135.0
-73.9733,3.0,1.0,0.0,13.0,1.0,9.75,250.0
-73.96677,7.0,1.0,189.0,3.0,1.0,3.13,
-73.9425,3.0,1.0,0.0,12.0,1.0,19.59,
-73.98496,1.0,1.0,0.0,23.0,1.0,2.04,140.0
-73.94789,14.0,1.0,0.0,28.0,1.0,0.0,115.0
-73.8466,2.0,1.0,21.0,63.0,1.0,42.05,160.0
-73.95211,2.0,1.0,35.0,2.0,1.0,3.84,195.0
-73.93038,4.0,1.0,39.0,25.0,1.0,0.0,195.0
-73.96465,1.0,1.0,0.0,8.0,0.0,0.0,
-73.95103,3.0,1.0,70.0,20.0,1.0,62.09,44.0
-73.94764,30.0,8.0,189.0,15.0,0.0,3.15,156.0
-73.99031,4.0,1.0,203.0,9.0,1.0,12.14,85.0
-73.96026,30.0,21.0,342.0,3.0,1.0,2.16,125.0
-73.99228,1.0,2.0,0.0,1.0,0.0,1.05,
-73.94351,1.0,1.0,0.0,15.0,1.0,0.0,
-73.93993,7.0,1.0,29.0,12.0,1.0,0.0,
-73.98146,1.0,1.0,180.0,132.0,0.0,6.19,125.0
-73.95489,7.0,1.0,35.0,15.0,1.0,1.63,219.0
