longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews
0.5948666804659126,0.0024019215372297837,0.0,0.0,0.09545454545454544,0.5,0.0015848845520370428
0.5605253749317853,0.0016012810248198558,0.0,0.13972602739726028,0.00909090909090909,0.5,0.0
0.5060308977664079,0.0016012810248198558,0.0,0.4328767123287671,0.03636363636363636,0.5,0.04864974051399981
0.47375947914119365,0.0008006405124099279,0.0,0.0,0.031818181818181815,0.5,0.0
0.6051220292418691,0.0,0.003067484662576687,0.0,0.02727272727272727,0.0,0.00556263401597315
0.4979395216679734,0.0,0.009202453987730062,0.0,0.07727272727272727,0.0,0.001600422635880543
0.5072540127580396,0.0016012810248198558,0.0,0.0,0.03636363636363636,0.5,0.014279499052176884
0.6022806390305391,0.023218574859887906,0.0,0.20821917808219179,0.17727272727272728,0.0,0.014232884800646384
0.4755471087443368,0.0,0.03374233128834356,0.7315068493150685,0.031818181818181815,0.0,0.10676217408869136
0.31972225881114014,0.0008006405124099279,0.0,0.7013698630136986,0.40454545454545454,0.5,0.3823767053047018
0.5434393993564584,0.0,0.006134969325153375,0.14794520547945206,0.00909090909090909,0.0,0.005764629105938656
0.4904691116421702,0.004803843074459567,0.0,0.6219178082191781,0.08636363636363636,0.0,0.028947450200441278
0.7359576990384653,0.0,0.0,0.9506849315068493,0.39545454545454545,0.0,0.05464744087759098
0.5453775661893587,0.0016012810248198558,0.003067484662576687,0.7671232876712328,0.09090909090909091,0.5,0.0
0.6149445834822984,0.0008006405124099279,0.0,0.03287671232876713,0.2545454545454545,0.5,0.14635321172193044
0.5470899271776091,0.0024019215372297837,0.003067484662576687,0.27945205479452057,0.00909090909090909,0.0,0.1113303707386805
0.4626573584479843,0.0016012810248198558,0.003067484662576687,0.0,0.06363636363636363,0.0,0.0
0.5097566942024514,0.0024019215372297837,0.0,0.4904109589041096,0.05909090909090909,0.5,0.02650797103701171
0.5338802852680544,0.0016012810248198558,0.0,0.7424657534246576,0.013636363636363636,0.5,0.19826594984306534
0.5500442203112357,0.0,0.0,0.4,0.09090909090909091,0.0,0.16656825880232448
0.5667726699659568,0.0,0.0,0.4410958904109589,0.09090909090909091,0.5,0.08674912209826284
0.4747191539807716,0.0008006405124099279,0.003067484662576687,0.0,0.06363636363636363,0.0,0.0
0.54494477165386,0.0024019215372297837,0.0,0.4328767123287671,0.12727272727272726,0.5,0.0967401100096336
0.6310520670643314,0.0008006405124099279,0.0,0.0,0.2545454545454545,0.5,0.0
0.4920121182470041,0.0016012810248198558,0.0,0.6794520547945205,0.08636363636363636,0.5,0.04704931787811927
0.45099072314320665,0.0016012810248198558,0.0,0.44931506849315067,0.049999999999999996,0.5,0.015538083843500418
0.5028884330956203,0.0016012810248198558,0.0,0.0,0.08636363636363636,0.5,0.016206221448770937
0.4611143518431504,0.0032025620496397116,0.0,0.0136986301369863,0.06363636363636363,0.0,0.0
0.4692998137101938,0.004803843074459567,0.1411042944785276,0.8712328767123287,0.031818181818181815,0.0,0.008390565275490227
0.4731385130685055,0.0032025620496397116,0.003067484662576687,0.6876712328767123,0.031818181818181815,0.5,0.0779234904751546
0.5386033908511081,0.0024019215372297837,0.0,0.0,0.02727272727272727,0.0,0.0016159607197240437
0.5290819110701364,0.0,0.0,0.024657534246575342,0.06818181818181818,0.5,0.02009074240964604
0.572286096005115,0.023218574859887906,0.15644171779141103,0.9232876712328767,0.09090909090909091,0.5,0.006339538208148171
